Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	Frozen II	$477,373,578	4,440	$130,263,358	4,440	Nov 22, 2019	Walt Disney Studios Motion Pictures
2	Frozen	$400,738,009	3,742	$243,390	1	Nov 22, 2013	Walt Disney Studios Motion Pictures
3	Zootopia	$341,268,248	3,959	$75,063,401	3,827	Mar 4, 2016	Walt Disney Studios Motion Pictures
4	Moana	$248,757,044	3,875	$56,631,401	3,875	November 23, 2016	Walt Disney Studios Motion Pictures
5	Big Hero 6	$222,527,828	3,773	$56,215,889	3,761	November 7, 2014	Walt Disney Studios Motion Pictures
6	Ralph Breaks the Internet	$201,091,711	4,017	$56,237,634	4,017	Nov 21, 2018	Walt Disney Studios Motion Pictures
7	Tangled	$200,821,936	3,603	$48,767,052	3,603	November 24, 2010	Walt Disney Studios Motion Pictures
8	Wreck-It Ralph	$189,422,889	3,752	$49,038,712	3,752	November 2, 2012	Walt Disney Studios Motion Pictures
9	Bolt	$114,053,579	3,654	$26,223,128	3,651	November 21, 2008	Walt Disney Studios Motion Pictures
10	The Princess and the Frog	$104,400,899	3,475	$786,190	2	Nov 25, 2009	Walt Disney Studios Motion Pictures
11	Meet the Robinsons	$97,822,171	3,435	$25,123,781	3,413	March 30, 2007	Walt Disney Studios Motion Pictures
12	Winnie the Pooh	$26,692,846	2,405	$7,857,076	2,405	Jul 15, 2011	Walt Disney Studios Motion Pictures
